comentario_nps;dolor_1;dolor_2;dolor_3
Muy caros  los prepago;Prepago;;
No se puede confiar en la facturacion;Facturacion;Confianza;
me empezaron a facturar Disney+ sin motivo, fue una odisea resolver el problema, de hecho di de baja la app tambien en mi domicilio. Idem con FlowFlex, a pesar de estar bonificado por un tiempo. Torpe gestion de servicios al cliente. Facturacion abusiva.;Disney+;Resolucion;Fraude
Me estan cobrando, el mes pasado , que pague en tiempo y forma , como comprobé enviando el pago correspondiente, o casualidad ! No les impacto, mira , la verdad , es de una impunidad , vergonzante , saludos cordiales.;Facturacion;Imputacion de pago;Resolucion
Son tremendos HDP ,debia un saldo insignificante y ya te restringen la linea son una mierda;Degradacion;;
me tengo que comunicar todos los meses por la factura, vean mi historial;Rellamador;Ajustes;Distribucion FT
Mala facturacion ;Facturacion;;
Unilateralmente modificaron la modalidad de facturacion y no pude pagar en termino;Unificacion;;
Al momento de pagar una factura, tarda demasiado en volver a darte gigas;Ciclos de FT;;
Vencimiento de la factura muy corto. Y en una fecha cerca de fin de mes. Prefiero vencimientos del 1 al 10 de cada mes.;Cambio de Ciclo;;
me sumaron un cargo a mi factura que nunca contrate;Fraude;;
Me cobraron una linea que no es mia y me molestan con mail;Fraude;;
No m llegan las facturas;Distribucion FT;;
NO LLEGA LA FACTURA;Distribucion FT;;
No me dan respuesta al cambio de ciclo de facturacion ya que debo abonar fuera de termino y me cobran intereses ;Cambio de Ciclo;;
Tienen problemas de gestion. Asocian las facturas a numeros errados;Campana Mora;;
Me tienen cansada me llaman 3 veces al dia xq estoy atrasada con el pago, solo 15 dias. Y me dicen q es normal q me llamen 3 veces al dia. Es hostigamiento lo q hacen;Campana Mora;;
Ya se los explique, dos meses me han facturado a mi y a mi hija, dos ves el mismo abono, hice el reclamo dos veces, la tercera doy de baja, no hay comunicacion entre los empleados, desastre;Facturacion;Resolucion;
Todos los meses me cobran suscripciones que no solicite y tengo que llamar para reclamar;Facturacion;Suscripciones;Resolucion
TODAVIA MI LINEA FIGURA DE BAJA Y NO ME LLEGAN LAS FACTURAS ;Indefinido;;
Pagué una factura y la reclaman llamando a personas sin mi autorizacion!!! Una vergüenza ;Campana Mora;;
No me llega el detalle de la factura, al correo donde si me llegan estas encuestas y que el monto de la misma.  ;Factura Online;;
Siempre hay problemas con la facturacion ;Facturacion;Resolucion;
No se puede pagar con tarjeta de crédito y ya hice la gestion y nada ;Facturacion;Pagos;
En forma unilateral e inconsulta cambian la facturacion;Unificacion;;
me cobraron en un mes dos meses, osea, me mataron, no es lo mismo 40mil que 80 mil;Facturacion;Ciclos;
muchos problemas con la facturacion;Facturacion;Resolucion;
Paso el vencimiento y no me han debitado aun, el dinero esta ;Facturacion;DA;
Me estan reclamando una deuda que ya pagué hace meses, todos los dias me llaman, me manda notificaciones, mail, etc;Campana Mora;;
Muy desprolijos con la facturacion. Mensajes reiterados equivocado. Y no se dignan de avisar cuando fue acreditado ;Campana Mora;;
Me sumaron productos a mi factura que nunca pedi. ;Fraude;;
Muy malo por Nordelta porque se avivaron por la promocion . Juntaron flow con personal que no pedi. Ahora debo esperar el 25 para separar los planes como corresponde ;Unificacion;;
Siempre algo de mas te cobran . Tenés que leer toda la boleta porque sino te cagan ;Facturacion;Items Facturados;
NO PUEDO PAGAR CON TARJETA DE CRÉDITO ;Facturacion;Pagos;
Fallos en facturacion ;Facturacion;;
Mwdaron mail informando que cambiaba la facturacion y la fecha de vencimiento. en el mail me dicen una fecha y me facturaron en otra fecha. y me cobraron dos veces lo mismo..No me toman el reclamo y  me mienten . Una estafa;Unificacion;Resolucion;
Me dieron de baja sin mi permiso. Me cortaron el servicio porqué no me envian boleta por correo electronico 😡 ;Factura Online;Baja;
Pago a término la factura y no se me renuevan los datos. Tardan 72 hs Oma’s en acreditarse ;Ciclos de FT;;
Cada vez es mas complicado entender la facturas que recibo por mi numero de cuit  y por mi numero de DNI. Francamente es agotador controlar los vencimientos de la factura de television e Internet y por otro lado las de la telefonia celular. De paso comento que Internet en la zona de Martinez funciona muy mal;Facturacion;Items Facturados;Funcionamiento
ME DEBITARON UNA SUSCRIPCION DE DISNEY+ DE MI CUENTA QUE ESTOY ADHERIDO AL DEBITO AUTOMATICO SIN MI CONSENTIMIENTO;Disney+;Fraude;
Pague la factura el Viernes 1ro y, hasta hoy, Martes 5 sigo recibiendo una gran cantidad de mensajes reclamando por falta de pago;Campana Mora;;
Agregaron Disney + a mi plan sin solicitarlo y ahora igual tengo que pagar mi factura por mas que ya lo haya dado de baja ;Disney+;Fraude;
En desacuerdo con la factura unica. Impide que cada integrante de la familia aboné su linea movil;Unificacion;;
Todos los meses tengo problemas con la facturacion.;Facturacion;Resolucion;
Por cobrarme dos veces el mismo mes y la respuesta es pagué y después el mes proximo no paga;Facturacion;Resolucion;Mal Asesoramiento
tuve que llamar para resolver temas de cobros que estaban mal hechos;Facturacion;Resolucion;
ajustes raros, no se entienden;Facturacion;Ajustes;
Nunca me atendieron y me estan cobrando  en la factura 2 servicios que nunca contraté.;Facturacion;Resolucion;Fraude
Siemprw rengo problema con la facturacion de mi abono;Facturacion;Resolucion;
Por mala facturacion.di de baja un psck en tiempo y forma y me vuelven a cobrar y ademas porque todos los operadores dan una version diferente sobre el mismo tema...;Facturacion;Resolucion;Mal Asesoramiento
